
# list of issues fixed with this release (previous release was 3.3.1)

# commit             date                 issue      message

  c32e3d0ec5    2021-10-13T15:49:36+02:00    6287    bugfix_rest: bugfix in null serialization of idcardcqlselector rest v2 to Fix #6287
  097c23058b    2021-10-12T14:58:18+02:00    6226    bugfix_uimgt: fix #6226 Relation - Timestamp not parsed
  e53c1c23f8    2021-10-12T11:24:25+02:00    6226    bugfix_uimgt: fix #6226 Relation - Timestamp not parsed
  c3fd392762    2021-09-29T17:01:43+02:00    6210    feature_core: add import translation feature, fix #6210
  57c57ff23d    2021-09-27T14:32:45+02:00    6200    bugfix_core: minor fix for context menu config handling to Fix #6200
  b337c4e9ed    2021-09-16T12:57:50+02:00    6134    bugfix_uiadm: fix #6134 After configuring tenant in admin UI breaks
  0d164bf56c    2021-09-15T16:50:37+02:00    6037    bugfix_core: improved performance of fulltext filter query, fix #6037
  de3b0e3bb4    2021-09-15T10:44:40+02:00    6029    feature_core: improved email template, handle email bean conversion and add wf api for email template, fix #6029
  27746b65d0    2021-09-10T12:41:08+02:00    6020    bugfix_core: fix menu service, filter inactive reports, dashboard, custom component; fix #6020
  96971fdd7d    2021-09-10T12:01:05+02:00    6106    improve_core: removed ui/scripts folder from release script to Fix #6106
  e05aa31907    2021-09-10T10:54:27+02:00    6108    test_core: fixed broken test core to Fix #6108
  beb992e8f7    2021-09-09T15:41:32+02:00    5001    bugfix_core: fixed relation filtering in geovalues to Fix #5001
  5938c10b57    2021-09-07T11:11:27+02:00    6082    improv_core: changed default url for bimserver and geoserver to match appliance defaults, fix #6082
  b0c573bd0d    2021-09-02T10:00:05+02:00    5994    bugfix_core: fixed issue when processing cad entity set with no entity, fix #5994
  7b191bcebb    2021-08-31T15:02:30+02:00    6032    improv_sql: improved context menu config patch to Fix #6032
  2c0fbcabb0    2021-08-30T10:17:00+02:00    6001    bugfix_uimgt: fix error on customform widget refresh button to fix #6001
  4851eafbb2    2021-08-19T11:32:06+02:00    5999    bugfix_code: fix reference processing for email for cross tenant refs, fix #5999
